year;month;day;hour;minute;second;latitude;longitude;SemiMajor90;SemiMinor90;ErrorStrike;epicentreQuality;depth;depthError;depthQuality;magnitude;magType;sigmaMagnitude;magQuality;magSource;scalarMoment;factor;scalarMomentAuthor;mpp;mpr;mrr;mrt;mtp;mtt;str1;dip1;rake1;str2;dip2;rake2;type;event_id;catalog
1904;1;20;14;51;36.41;7.808;-81.98;140.8;33.6;150.8;C;10;25;C;;mw;;D;;;;;;;;;;;;;;;;;;16957810;isc-gem
1904;3;18;13;43;56.21;42.701;146.265;51.3;14.4;146.2;C;15;9.1;C;;mw;;D;;;;;;;;;;;;;;;;;;602790124;isc-gem
1904;3;19;6;27;57.84;-29.262;-71.753;455.4;43.3;92.4;D;20;16;C;;mw;;D;;;;;;;;;;;;;;;;;;16957812;isc-gem
1904;3;31;2;16;31.91;39.749;91.922;43.6;17.4;38.4;C;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610548581;isc-gem
1904;4;5;10;18;36.84;30.559;94.199;39.4;18;101.6;C;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610548582;isc-gem
1904;4;10;8;52;30.34;41.886;21.787;12.4;7.8;157.2;C;15;5;C;;mw;;D;;;;;;;;;;;;;;;;;;610548583;isc-gem
1904;4;12;18;48;17.2;48.846;-175.615;36;19.3;39.4;C;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610548584;isc-gem
1904;5;1;15;28;27.06;-1.09;128.47;88.3;21.7;52.6;D;35;9.4;C;;mw;;D;;;;;;;;;;;;;;;;;;16957815;isc-gem
1904;6;7;8;18;3.19;37.542;133.497;71.4;24.5;81.5;C;350;25;C;;mw;;D;;;;;;;;;;;;;;;;;;914301;isc-gem
1904;6;24;1;4;19.24;51.009;158.692;207.9;39.8;75;D;35;9.7;C;;mw;;D;;;;;;;;;;;;;;;;;;610548586;isc-gem
1904;6;26;10;40;46.81;52.912;160.923;46.6;38;157.9;D;35;8.5;C;;mw;;D;;;;;;;;;;;;;;;;;;610548587;isc-gem
1904;6;27;0;9;21.77;53.325;160.734;32.4;26.6;132.4;C;35;12.8;C;;mw;;D;;;;;;;;;;;;;;;;;;16957821;isc-gem
1904;7;23;0;37;36.18;-4.69;107.684;80.2;43.1;158.2;D;600;25;C;;mw;;D;;;;;;;;;;;;;;;;;;600208131;isc-gem
1904;7;24;10;44;48.05;54.031;159.607;23.6;17.6;36.3;C;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;16957822;isc-gem
1904;8;8;22;50;33.82;-42.185;176.917;56.2;32.2;152.3;D;30;25;C;;mw;;D;;;;;;;;;;;;;;;;;;16957823;isc-gem
1904;8;11;6;6;57.3;37.426;27.011;38.6;15;7.9;C;15;4.9;C;;mw;;D;;;;;;;;;;;;;;;;;;610548588;isc-gem
1904;8;18;4;41;37.62;-7.519;118.787;27.6;24.8;94.9;C;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610548589;isc-gem
1904;8;24;20;59;54.07;30.468;131.562;30.3;21;92.1;C;20;6.2;C;;mw;;D;;;;;;;;;;;;;;;;;;914305;isc-gem
1904;8;27;21;56;8.67;63.376;-148.231;28.1;14.7;96.5;C;15;5.9;C;;mw;;D;;;;;;;;;;;;;;;;;;16957825;isc-gem
1904;9;8;2;32;51.54;2.03;123.027;65.8;18.8;103.5;D;35;25;C;;mw;;D;;;;;;;;;;;;;;;;;;611451490;isc-gem
1904;10;3;3;4;58.66;10.642;56.977;34.2;13.9;34.6;C;10;5.4;C;;mw;;D;;;;;;;;;;;;;;;;;;16957829;isc-gem
1904;10;23;10;27;22.43;58.218;10.788;62.7;20.3;119.9;D;10;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610326280;isc-gem
1904;11;9;3;27;19.38;35.941;57.272;56.9;20.1;13.5;D;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610326281;isc-gem
1904;12;2;2;19;12.8;5.384;-80.533;49.2;32.9;121.1;D;15;25;C;6.49;mw;0.93;D;p;;;;;;;;;;;;;;;;;600208133;isc-gem
1904;12;11;17;5;42.72;-32.312;-73.706;75.7;53.7;55.6;D;10;25;C;6.72;mw;0.23;C;p;;;;;;;;;;;;;;;;;610548593;isc-gem
1905;1;9;6;14;46.76;26.71;55.433;252.8;47.2;177.5;D;15;25;C;6.23;mw;0.2;C;p;;;;;;;;;;;;;;;;;610326282;isc-gem
1905;1;13;13;20;39.32;-3.586;149.551;64;52.3;144;D;15;25;C;7.42;mw;0.49;C;p;;;;;;;;;;;;;;;;;16957833;isc-gem
1905;1;20;2;32;28.83;39.156;23.085;13.8;7.9;19.9;C;15;5.1;C;6.51;mw;0.72;D;p;;;;;;;;;;;;;;;;;610548594;isc-gem
1905;1;20;18;0;31.3;10.082;-85.608;194.1;48.5;115.3;D;20;11.4;C;6.74;mw;0.2;C;p;;;;;;;;;;;;;;;;;611451667;isc-gem
1905;1;22;2;43;58.32;0.61;121.622;27;15.5;113.5;C;90;24.3;C;;mw;;D;;;;;;;;;;;;;;;;;;16957834;isc-gem
1905;2;13;5;23;40.3;-17.221;162.523;51.3;17.2;161.9;D;15;25;C;7;mw;0.2;B;p;;;;;;;;;;;;;;;;;610548595;isc-gem
1905;2;27;17;24;49.44;-19.872;-174.492;68.2;21.4;136.1;C;35;14.7;C;;mw;;D;;;;;;;;;;;;;;;;;;16957839;isc-gem
1905;3;14;10;44;3.98;39.035;72.98;158.9;21.8;174.8;D;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;16957842;isc-gem
1905;3;18;23;57;40.24;-24.363;-173.399;338.5;140.9;33.9;D;15;25;C;7.36;mw;0.2;B;p;;;;;;;;;;;;;;;;;16957844;isc-gem
1905;4;4;11;0;32.68;40.365;19.213;11.7;10.6;150.6;C;15;3.6;C;5.38;mw;0.2;D;p;;;;;;;;;;;;;;;;;610548598;isc-gem
1905;4;19;12;31;7.56;-26.537;-173.362;32.4;25.9;136.1;D;15;25;C;6.81;mw;0.2;B;p;;;;;;;;;;;;;;;;;16957849;isc-gem
1905;4;26;21;43;17.98;-12.082;-70.938;93.3;28;99.9;D;35;25;C;6.66;mw;0.62;C;p;;;;;;;;;;;;;;;;;16957850;isc-gem
1905;5;9;6;39;49.67;20.462;-107.078;150.7;71.1;166.6;D;10;25;C;6.97;mw;0.96;D;p;;;;;;;;;;;;;;;;;610548601;isc-gem
1905;5;11;17;9;1.46;25.967;143.332;95.3;24.2;32.3;D;15;25;C;6.78;mw;0.2;B;p;;;;;;;;;;;;;;;;;610548602;isc-gem
1905;6;3;5;10;40.47;42.124;19.411;12.4;9.4;10.9;C;15;6.5;C;5.93;mw;0.79;D;p;;;;;;;;;;;;;;;;;610326288;isc-gem
1905;6;12;5;17;17.99;-19.899;174.786;37.6;25.2;145.2;C;10;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610548606;isc-gem
1905;6;14;11;29;43.4;-24.075;173.442;178.1;30.1;159.7;D;35;25;C;6.65;mw;0.2;C;p;;;;;;;;;;;;;;;;;16957854;isc-gem
1905;6;19;1;24;18.2;30.994;62.052;36.9;15.7;18.8;D;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610326290;isc-gem
1905;7;11;15;37;12.48;21.572;143.894;30.4;15.7;47.4;C;200;21.6;C;;mw;;D;;;;;;;;;;;;;;;;;;16957860;isc-gem
1905;7;14;8;51;18.09;60.403;-116.982;46.1;18.2;128.4;D;15;25;C;6.27;mw;0.49;C;p;;;;;;;;;;;;;;;;;610548607;isc-gem
1905;7;16;18;46;55.43;9.386;124.03;274.2;83.8;168.4;D;35;32;C;6.06;mw;0.51;C;p;;;;;;;;;;;;;;;;;610548608;isc-gem
1905;7;27;22;22;43.16;14.485;122.828;36.2;21.6;105.2;C;15;10.8;C;;mw;;D;;;;;;;;;;;;;;;;;;610548610;isc-gem
1905;8;6;23;55;9.2;42.05;19.6;47;12.9;21.1;D;15;6.5;C;;mw;;D;;;;;;;;;;;;;;;;;;610326409;isc-gem
1905;8;12;21;26;29.83;41.812;19.689;32.5;19;129;C;15;6.5;C;5.35;mw;0.26;D;p;;;;;;;;;;;;;;;;;610548611;isc-gem
1905;8;13;10;21;45.83;46.193;6.287;34.7;11.9;60.5;D;15;6.2;C;;mw;;D;;;;;;;;;;;;;;;;;;610326410;isc-gem
1905;8;25;9;46;42.88;42.921;129.907;17.1;11.3;71.7;C;470;25;C;;mw;;D;;;;;;;;;;;;;;;;;;914296;isc-gem
1905;8;25;20;40;53;41.981;13.776;15.6;7.3;168.5;C;15;6.1;C;5.21;mw;0.2;D;p;;;;;;;;;;;;;;;;;610326411;isc-gem
1905;9;1;2;45;42.08;45.309;142.089;26.7;10.1;86.5;C;255;25;C;;mw;;D;;;;;;;;;;;;;;;;;;16957870;isc-gem
1905;9;26;1;26;59.57;28.784;75.157;42;15.7;30.3;D;20;25;C;;mw;;D;;;;;;;;;;;;;;;;;;16957873;isc-gem
1905;10;21;11;1;27.23;43.096;41.664;17.8;6.9;19;B;15;25;C;6.37;mw;0.77;D;p;;;;;;;;;;;;;;;;;16957875;isc-gem
1905;10;21;13;20;17.89;43.469;41.916;17.8;7.1;45.5;C;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;610548614;isc-gem
1905;10;22;3;54;31.71;40.761;28.183;24.7;15.5;6.6;D;15;3.9;C;5.78;mw;0.52;C;p;;;;;;;;;;;;;;;;;610548615;isc-gem
1905;10;24;3;46;24.63;34.339;138.846;29.6;14.4;148.4;D;15;4.7;C;;mw;;D;;;;;;;;;;;;;;;;;;16957876;isc-gem
1905;10;24;17;42;54.75;22.063;-110.711;84.7;25.7;36.3;D;15;25;C;;mw;;D;;;;;;;;;;;;;;;;;;600208135;isc-gem
1905;11;9;19;6;8.71;40.037;24.078;16.6;9.6;74.8;C;15;4.4;C;5.28;mw;0.2;D;p;;;;;;;;;;;;;;;;;610548617;isc-gem
1905;11;18;0;20;0;40.932;22.241;31;11.4;80.6;D;15;5.5;C;5.45;mw;0.59;C;p;;;;;;;;;;;;;;;;;610548618;isc-gem
