igpeventID;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
undefined;2015;12;23;4;14;42;-15.21;-74.94;59;5;ml;igp
undefined;2015;12;22;20;34;16;-15.15;-72.95;118;5;ml;igp
undefined;2015;12;10;21;3;45;-15.74;-71.82;5;4.5;ml;igp
undefined;2015;12;8;20;47;4;-15.77;-71.83;10;4.5;ml;igp
undefined;2015;12;1;13;39;55;-16.54;-71.28;127;5;ml;igp
undefined;2015;11;26;5;55;48;-9.07;-71.46;643;5;ml;igp
undefined;2015;11;26;5;45;4;-9.38;-71.49;613;6.5;ml;igp
undefined;2015;11;25;3;12;23;-15.67;-71.86;13;4.5;ml;igp
undefined;2015;11;24;22;50;37;-10.18;-71.29;641;7.5;ml;igp
undefined;2015;11;24;22;45;21;-10.62;-71.21;647;7.6;ml;igp
undefined;2015;11;22;14;38;15;-15.43;-72.49;122;4.7;ml;igp
undefined;2015;11;20;21;28;53;-6.74;-80.63;32;4.5;ml;igp
undefined;2015;11;20;6;35;20;-7.89;-74.47;161;4.5;ml;igp
undefined;2015;11;16;4;55;35;-18.86;-70.15;84;4.6;ml;igp
undefined;2015;11;12;19;49;22;-16.12;-72.25;98;5.1;ml;igp
undefined;2015;11;8;8;13;38;-17.48;-69.67;165;5.1;ml;igp
undefined;2015;11;6;3;13;44;-14.74;-76.19;11;4.7;ml;igp
undefined;2015;11;4;10;48;8;-10.02;-75.71;17;4.6;ml;igp
undefined;2015;10;29;4;2;45;-10.53;-76.96;121;4.7;ml;igp
undefined;2015;10;27;16;23;53;-10.79;-78.6;56;4.8;ml;igp
undefined;2015;10;7;5;59;15;-17.88;-70.07;132;4.8;ml;igp
undefined;2015;10;5;10;0;2;-15.7;-74.03;83;4.6;ml;igp
undefined;2015;10;4;14;50;34;-16.42;-72.37;84;5.3;ml;igp
undefined;2015;10;1;19;42;41;-15.69;-72.13;9;4.5;ml;igp
undefined;2015;9;28;8;15;55;-3.46;-80.94;18;5;ml;igp
undefined;2015;9;13;18;12;44;-5.97;-80.48;38;4.6;ml;igp
undefined;2015;9;13;16;18;32;-16.37;-72.74;74;4.5;ml;igp
undefined;2015;9;10;16;43;57;-13.65;-76.85;21;4.8;ml;igp
undefined;2015;9;4;3;51;18;-14.33;-76.71;10;4.9;ml;igp
