eventID;Agency;catalog;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
;CERES995;SARA;1513;;;;;;-17.21;-72.3;30;8.69;Mw;sara
;CERES995;SARA;1520;;;;;;-40;-74;;7.37;Mw;sara
;SHIVE011;SARA;1530;9;1;14;;;10.7;-64.1;;7.31;Mw;sara
;CERES995;SARA;1533;1;;;;;-12.2;-77.8;30;6.52;Mw;sara
;CERES995;SARA;1533;2;0;0;0;0;-12.3;-77.299;;6.23;Mw;sara
;CERES995;SARA;1541;4;0;0;0;0;-0.14;-78.269;;6.32;Mw;sara
;CERES995;SARA;1543;;;;;;-19;-70.5;;7.37;Mw;sara
;CERES995;SARA;1552;7;2;10;30;;-16.6;-71.3;30;7.6;Mw;sara
;CERES995;SARA;1555;11;15;;;;-11.9;-77.6;30;8.4;Mw;sara
;CERES995;SARA;1557;2;0;0;0;0;-1.5;-78.5;;5.89;Mw;sara
;CERES995;SARA;1560;1;22;0;0;0;-0.22;-78.5;;4.95;Mw;sara
;CERES995;SARA;1562;10;28;10;;;-38.7;-73.15;;7.66;Mw;sara
;CERES995;SARA;1566;;;;;;2.5;-76.599;;5.89;Mw;sara
;CERES995;SARA;1568;4;4;;;;-14.38;-75.72;80;6.61;Mw;sara
;CERES995;SARA;1570;2;8;5;;;-36.75;-73;;8;Mw;sara
;CERES995;SARA;1575;3;17;6;;;-33.4;-70.6;;7.26;Mw;sara
;CERES995;SARA;1575;9;8;0;0;0;-0.22;-78.5;;5.89;Mw;sara
;CERES995;SARA;1575;12;16;18;30;;-39.8;-73.2;;8.25;Mw;sara
;CERES995;SARA;1578;6;17;0;0;0;-12.699;-77.299;60;6.23;Mw;sara
;CERES995;SARA;1581;;;;;;-12.4;-77.7;30;7.6;Mw;sara
;CERES995;SARA;1581;;;;;;-14.1;-71.5;15;6.42;Mw;sara
;CERES995;SARA;1582;1;22;16;30;;-16.6;-71.6;30;7.5;Mw;sara
;CERES995;SARA;1582;8;7;0;0;0;-33.399;-70.599;;6.8;Mw;sara
;CERES995;SARA;1582;8;15;;;;-12.2;-77.6;30;7.8;Mw;sara
;CERES995;SARA;1584;3;17;;;;-11.8;-77.8;30;8.4;Mw;sara
;CERES995;SARA;1586;7;10;0;30;;-12.3;-77.7;60;8.1;Mw;sara
;BEAAL010;SARA;1587;8;31;;;;-0.05;-78.33;;6.4;Mw;sara
