spc_acc;tr;mag_wt;dist_wt;eps_wt
PGA;10000;7.486591328811671;73.10273746870557;2.298539203736558
PGA;5000;7.410525403215686;73.68230201564344;2.179910219146981
PGA;2475;7.329592073043618;74.42838871952476;2.058681617108028
PGA;1000;7.198149543666178;75.55309739231535;1.9036599590625591
PGA;475;7.06636358310646;76.25899835578352;1.780783361229115
PGA;100;6.700480194810162;77.53702722181234;1.5793218421754402
SA(0.2);10000;7.5775490052804475;75.86508763387454;2.222678198272866
SA(0.2);5000;7.501285852258785;76.32136720498511;2.1262391701936445
SA(0.2);2475;7.419339117138012;76.94148783395377;2.0199878249708982
SA(0.2);1000;7.2878231856917814;77.96242689445718;1.874886209280673
SA(0.2);475;7.15676232130682;78.69524503430709;1.7638979749616985
SA(0.2);100;6.797617250442956;80.40047382367923;1.5613944331970178
SA(1.0);10000;7.73852088189165;69.36953858550791;2.217128014097313
SA(1.0);5000;7.689852589305967;71.18495746341435;2.0823493801110233
SA(1.0);2475;7.634317840758043;73.38599285527359;1.9526063654016212
SA(1.0);1000;7.5429722467845925;77.03694835937402;1.7656849071493603
SA(1.0);475;7.453788537586909;80.38790365770559;1.619143206769388
SA(1.0);100;7.182577597405284;89.12852576925668;1.3447487476629347
