imt,iml,poe,mag,dist,eps,mean
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.00000E+00,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.00000E+00,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.00000E+00,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.00000E+00,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.00000E+00,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.00000E+00,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.50000E+01,2.50000E+00,5.27444E-06
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.50000E+01,2.50000E+00,1.05717E-07
PGA,9.21102E-01,5.00000E-03,5.25000E+00,3.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,3.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,3.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,3.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,3.50000E+01,1.50000E+00,2.94845E-05
PGA,9.21102E-01,5.00000E-03,5.25000E+00,3.50000E+01,2.50000E+00,2.08026E-04
PGA,9.21102E-01,5.00000E-03,5.25000E+00,4.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,4.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,4.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,4.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,4.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,4.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,5.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,6.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,6.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,6.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,6.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,6.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,6.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,7.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,7.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,7.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,7.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,7.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,7.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,8.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,8.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,8.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,8.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,8.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,8.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,9.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,9.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,9.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,9.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,9.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,9.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.05000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.05000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.05000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.05000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.05000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.05000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.15000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.15000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.15000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.15000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.15000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.15000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.25000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.25000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.25000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.25000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.25000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.25000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.35000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.35000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.35000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.35000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.35000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.35000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.45000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.45000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.45000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.45000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.45000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.45000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.55000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.55000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.55000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.55000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.55000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.55000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.65000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.65000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.65000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.65000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.65000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.65000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.75000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.75000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.75000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.75000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.75000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.75000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.85000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.85000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.85000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.85000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.85000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.85000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.95000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.95000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.95000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.95000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.95000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,1.95000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.05000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.05000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.05000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.05000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.05000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.05000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.15000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.15000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.15000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.15000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.15000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.15000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.25000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.25000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.25000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.25000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.25000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.25000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.35000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.35000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.35000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.35000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.35000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.35000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.45000E+02,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.45000E+02,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.45000E+02,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.45000E+02,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.45000E+02,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.25000E+00,2.45000E+02,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.00000E+00,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.00000E+00,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.00000E+00,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.00000E+00,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.00000E+00,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.00000E+00,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,1.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,1.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,1.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,1.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,1.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,1.50000E+01,2.50000E+00,1.53738E-05
PGA,9.21102E-01,5.00000E-03,5.75000E+00,2.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,2.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,2.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,2.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,2.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,2.50000E+01,2.50000E+00,1.21082E-06
PGA,9.21102E-01,5.00000E-03,5.75000E+00,3.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,3.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,3.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,3.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,3.50000E+01,1.50000E+00,1.06933E-04
PGA,9.21102E-01,5.00000E-03,5.75000E+00,3.50000E+01,2.50000E+00,1.80656E-04
PGA,9.21102E-01,5.00000E-03,5.75000E+00,4.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,4.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,4.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,4.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,4.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,4.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,5.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,6.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,6.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,6.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,6.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,6.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,6.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,7.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,7.50000E+01,-1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,7.50000E+01,-5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,7.50000E+01,5.00000E-01,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,7.50000E+01,1.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,7.50000E+01,2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,8.50000E+01,-2.50000E+00,0.00000E+00
PGA,9.21102E-01,5.00000E-03,5.75000E+00,8.50000E+01,-1.50000E+00,0.00000E+00
